what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unable to create editor ID org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart: org.eclipse.ui.PartInitException: The file does not exist.",1312201278456
opened,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1312201278510
opened,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1312201278517
closed,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1312201278527
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312201278579
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1312201278628
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312201280121
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1312201327775
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312201327783
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1312201327790
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1312201329146
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1312201330671
closed,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1312201330671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312201334137
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312201343026
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1312201343045
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1312201343045
started,bundle,org.eclipse.wst.wsi.ui,1.0.501.v201004201506,"org.eclipse.wst.wsi.ui",1312201345887
started,bundle,org.eclipse.wst.html.core,1.1.405.v201104191549,"org.eclipse.wst.html.core",1312201345996
started,bundle,org.eclipse.wst.css.core,1.1.403.v201103021532,"org.eclipse.wst.css.core",1312201346391
error,log,,,"Plug-in 'org.maven.ide.eclipse.refactoring' contributed an invalid Menu Extension (Path: 'org.eclipse.jdt.ui.refactoring.menu' is invalid): org.maven.ide.eclipse.editor.RenameProjectAction",1312201350741
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312201354460
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312201354502
